Figure 3. Global Atmospheric Concentrations of Nitrous Oxide Over Time,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
Data source: Compilation of six underlying datasets,,,,,,
Web update: August 2016,,,,,,
Units: parts per billion (ppb) of nitrous oxide,,,,,,
,,,,,,
Year (negative values = BC),"EPICA Dome C, Antarctica",Antarctica (Battle et al.),"Cape Grim, Australia","South Pole, Antarctica","Barrow, Alaska","Mauna Loa, Hawaii"
Ice Core Measurements,,,,,,
-796475,254,,,,,
-794430,248.8,,,,,
-792569,238.7,,,,,
-790916,238.7,,,,,
-789474,249.7,,,,,
-788110,253.3,,,,,
-786882,252.7,,,,,
-785730,266.3,,,,,
-784579,303.3,,,,,
-783424,281.7,,,,,
-782151,268.7,,,,,
-780880,269.7,,,,,
-779646,279.7,,,,,
-778158,254,,,,,
-776797,254,,,,,
-775440,269.3,,,,,
-774034,273.3,,,,,
-772548,260.3,,,,,
-771046,271.3,,,,,
-770082,247,,,,,
-769885,266.7,,,,,
-769596,260,,,,,
-769258,274.7,,,,,
-768987,270.7,,,,,
-768353,271,,,,,
-768130,282.7,,,,,
-767754,287,,,,,
-767600,278.7,,,,,
-766626,282.5,,,,,
-765097,250.3,,,,,
-763978,241,,,,,
-763635,259.7,,,,,
-763314,264.7,,,,,
-763167,268.3,,,,,
-762634,286,,,,,
-762222,293,,,,,
-761874,289.3,,,,,
-760856,280,,,,,
-758079,249.7,,,,,
-756890,251.7,,,,,
-756467,274,,,,,
-756240,279,,,,,
-755556,289.7,,,,,
-755262,274,,,,,
-755043,286.7,,,,,
-754364,264.7,,,,,
-753097,251.7,,,,,
-751991,230.3,,,,,
-750612,231,,,,,
-749308,241.3,,,,,
-748096,246,,,,,
-746921,249.7,,,,,
-745764,238.7,,,,,
-744646,238,,,,,
-743515,235.3,,,,,
-742357,239.3,,,,,
-741217,231,,,,,
-740089,242,,,,,
-738939,252.3,,,,,
-737854,233.3,,,,,
-736871,251,,,,,
-735892,283.3,,,,,
-734964,258.3,,,,,
-734089,252.7,,,,,
-733151,250,,,,,
-732238,257.3,,,,,
-731204,261,,,,,
-730148,254.7,,,,,
-728964,263,,,,,
-727807,266.3,,,,,
-726909,253.7,,,,,
-726472,268.3,,,,,
-725212,257,,,,,
-723902,250.7,,,,,
-722434,264.7,,,,,
-720995,265.3,,,,,
